TableNo,Training Set,Source,MW,Ea,Sa,Aa,Ba,log Pb,MRb,Ob,Vb,Oblate Spheroid Minor Axisc,pKa (acid)d,pKa (base)d,ID,Names,ACD
1,"1,3-dihydroxynaphthalene",Sigma-Aldrich,160.17,1.62,1.34,0.82,0.51,1.97,45.896,1.2411,96.707,1.397,9.08,,1,"1,3-dihydroxynaphthalene",0
2,"1,3-dinitrobenzene",Sigma-Aldrich,168.11,1.11,1.55,0,0.32,1.49,40.707,1.2655,103.252,1.382,,,2,"1,3-dinitrobenzene",0
3,"1,4-dichlorobenzene",Sigma-Aldrich,147,0.86,0.53,0,0.05,3.415,35.668,1.2406,97.987,1.404,,,3,"1,4-dichlorobenzene",0
4,1-naphthol,Matheson Coleman & Bell,144.17,1.46,1.31,0.41,0.35,2.645,44.202,1.2091,89.81,1.426,9.5,,4,1-naphthol,0
5,1-naphthylamine,TCI,143.19,1.62,1.34,0.27,0.41,2.235,47.209,1.2335,94.544,1.401,,3.9,5,1-naphthylamine,0
6,1-nitropropane,Aldrich,89.09,0.24,0.54,0,0.29,1.198,21.86,1.1995,77.535,1.377,8.8,,6,1-nitropropane,0
7,"2,2'-dipyridyl",Sigma-Aldrich,156.18,1.36,1.49,0,0.73,1.544,46.136,1.3235,120.086,1.355,,4.4,7,"2,2'-dipyridyl",0
8,"2,3-dihydroxynaphthalene",Sigma-Aldrich,160.17,1.64,1.34,0.82,0.52,2.208,45.896,1.2951,118.929,1.396,9.12,,8,"2,3-dihydroxynaphthalene",0
9,"2,4-dinitrophenol",Sigma-Aldrich,184.11,1.3,1.56,0.06,0.5,1.54,42.402,1.2721,109.337,1.397,4.2,,9,"2,4-dinitrophenol",0
57,"2,5-dinitrophenol",Sigma-Aldrich,184.11,1.3,1.75,0.41,0.5,1.75,42.402,1.2764,110.034,1.392,5.2,,10,"2,5-dinitrophenol",0
10,2-naphthol,TCI,144.17,1.54,1.13,0.62,0.34,2.865,44.202,1.2209,89.608,1.4,9.6,,11,2-naphthol,0
,,,,,,,,,,,,,2.19,,12,2-nitrobenzoicacid,1
58,3-nitrophenol,Sigma-Aldrich,139.11,1.01,1.48,0.68,0.39,2.003,35.077,1.2164,78.291,1.347,8.6,,13,3-Nitrophenol,0
,,,,,,,,,,,,,,3.27,14,"4,4'-dipyridyl",1
59,4-chlorotoluene,TCI,126.58,0.76,0.58,0,0.12,3.33,35.904,1.2672,99.491,1.362,,,15,4-chlorotoluene,0
,,,,,,,,,,,,,,100,16,Benzyltrimethylammonium chloride,1
34,dimethyl fumarate,Acros Organics,144.13,0.34,0.99,0,0.77,0.166,34.145,1.3411,109.327,1.287,,,17,DimethylFumarate,0
61,Lin-Ee,BMS,243.28,1.72,1.64,0,0.9,2.667,67.029,1.3501,197.808,1.553,,3.93,18,Lin-E,0
24,Lin-cis-D 1e,BMS,287.33,1.57,1.75,0.46,0.72,3.635,77.202,1.3868,239.498,1.593,4.92,3.98,19,Lin-cis-D-1,0
27,Lin-trans-De,BMS,287.33,1.57,1.75,0.46,0.72,3.608,77.202,1.3944,241.696,1.585,4.92,3.98,20,Lin-trans-D,0
73,"N,N-diethylbenzamide",Aldrich,177.24,0.84,1.08,0,0.97,1.25,53.928,1.3371,167.266,1.49,,-0.4,21,"N,N-diethylbenzamide",0
39,"N,N-dimethylbenzamide",Aldrich,149.19,0.91,1.32,0,0.79,0.62,44.432,1.3097,132.063,1.421,,-0.4,22,"N,N-dimethylbenzamide",0
,,,,,,,,,,,,,,,23,N-benzylformamide,1
40,N-butylaniline,Sigma-Aldrich,149.23,0.88,0.71,0.19,0.57,2.772,50.125,1.3711,147.713,1.378,,5.1,24,N-butylaniline,0
41,N-ethylaniline,Sigma-Aldrich,121.18,0.88,0.71,0.13,0.57,2.21,41,1.3046,112.924,1.357,,5.1,25,N-ethylaniline,0
