index,SessionName,HSM3_Name,phi,n,k,kCorrected,tM,kRef,kTol,Date,FlowRate,Temperature,ColumnID,Column_Manufacturer,Column_Brand,Column_Phase,Column_ParticleSize,Column_PoreSize,Column_Length,Column_InnerDiameter,Column_SerialNumber
1,4_1_2,5-phenylpentanol,60,1,0.790942,0.78065809,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
2,4_1_2,5-phenylpentanol,60,2,0.759576,0.749699914,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
3,4_1_2,5-phenylpentanol,60,3,0.756656,0.74681788,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
4,4_1_2,5-phenylpentanol,60,4,0.746196,0.736493882,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
5,4_1_2,5-phenylpentanol,60,5,0.741905,0.732258674,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
6,4_1_2,5-phenylpentanol,50,1,1.3437,1.326229073,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
7,4_1_2,5-phenylpentanol,50,2,1.33029,1.312993431,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
8,4_1_2,5-phenylpentanol,50,3,1.34687,1.329357857,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
9,4_1_2,5-phenylpentanol,50,4,1.34863,1.331094973,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
10,4_1_2,5-phenylpentanol,50,5,1.33888,1.321471743,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
11,4_1_2,5-phenylpentanol,40,1,2.82644,2.789690334,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
12,4_1_2,5-phenylpentanol,40,2,2.80934,2.77281267,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
13,4_1_2,5-phenylpentanol,40,3,2.8152,2.778596478,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
14,4_1_2,5-phenylpentanol,40,4,2.81507,2.778468168,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
15,4_1_2,5-phenylpentanol,40,5,2.81327,2.776691572,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
16,4_1_2,5-phenylpentanol,35,1,4.34189,4.285436296,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
17,4_1_2,5-phenylpentanol,35,2,4.32387,4.267650594,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
18,4_1_2,5-phenylpentanol,35,3,4.31553,4.259419031,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
19,4_1_2,5-phenylpentanol,35,4,4.34229,4.285831095,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
20,4_1_2,5-phenylpentanol,35,5,4.33823,4.281823883,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
21,4_1_2,5-phenylpentanol,30,1,7.03789,6.946382624,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
22,4_1_2,5-phenylpentanol,30,2,7.0517,6.960013065,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
23,4_1_2,5-phenylpentanol,30,3,7.06083,6.969024356,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
24,4_1_2,5-phenylpentanol,30,4,7.06925,6.977334878,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
25,4_1_2,5-phenylpentanol,30,5,7.0032,6.912143667,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
26,4_1_2,5-phenylpentanol,25,1,12.002,11.84594875,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
27,4_1_2,5-phenylpentanol,25,2,12.0368,11.88029628,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
28,4_1_2,5-phenylpentanol,25,3,12.007,11.85088374,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
29,4_1_2,5-phenylpentanol,25,4,11.9943,11.83834887,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
30,4_1_2,5-phenylpentanol,25,5,12.0598,11.90299723,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
31,4_1_2,5-phenylpentanol,20,1,21.5796,21.2990198,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
32,4_1_2,5-phenylpentanol,20,2,21.5854,21.30474439,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
33,4_1_2,5-phenylpentanol,20,3,21.5419,21.26180998,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
34,4_1_2,5-phenylpentanol,20,4,21.5701,21.28964332,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
35,4_1_2,5-phenylpentanol,20,5,21.5119,21.23220004,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
36,4_1_2,trans-stilbene,70,1,1.09349,1.07927233,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
37,4_1_2,trans-stilbene,70,2,1.07737,1.063361923,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
38,4_1_2,trans-stilbene,70,3,1.07994,1.065898508,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
39,4_1_2,trans-stilbene,70,4,1.08427,1.070172209,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
40,4_1_2,trans-stilbene,70,5,1.08079,1.066737456,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
41,4_1_2,trans-stilbene,60,1,2.15819,2.13012899,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
42,4_1_2,trans-stilbene,60,2,2.16591,2.137748613,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
43,4_1_2,trans-stilbene,60,3,2.16227,2.134155941,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
44,4_1_2,trans-stilbene,60,4,2.16829,2.140097668,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
45,4_1_2,trans-stilbene,60,5,2.16764,2.13945612,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
46,4_1_2,trans-stilbene,50,1,5.04972,4.984063017,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
47,4_1_2,trans-stilbene,50,2,5.1021,5.035761966,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
48,4_1_2,trans-stilbene,50,3,5.09052,5.024332531,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
49,4_1_2,trans-stilbene,50,4,5.09229,5.026079517,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
50,4_1_2,trans-stilbene,50,5,5.10228,5.035939626,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
51,4_1_2,trans-stilbene,45,1,8.34777,8.239231428,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
52,4_1_2,trans-stilbene,45,2,8.42652,8.316957513,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
53,4_1_2,trans-stilbene,45,3,8.3762,8.267291779,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
54,4_1_2,trans-stilbene,45,4,8.39379,8.284653072,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
55,4_1_2,trans-stilbene,45,5,8.44044,8.330696523,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
56,4_1_2,trans-stilbene,40,1,14.6943,14.50324319,0.031795,1.620653863,1.642003361,28.09.2020,1,40,Col4S-1,Agilent,Zorbax,SB-Phenyl,1.8,80,5,2.1,USJMX01048-1
