"SMILES","MolWt","LogP","TPSA","LabuteASA","NumHAcceptors","NumHDonors","NumRotatableBonds","RingCount","NumAromaticRings","ExactMolWt"
"C1=CC=C(C=C1)CCCCCO",164.248,2.3917,20.23,96.6165457044882,1,1,5,1,1,164.120115132
"C1=CC=C(C=C1)/C=C/C2=CC=CC=C2",180.25,3.857,0,101.388424524184,0,0,2,2,2,180.093900384
"CCCCOC1=CC=CC=C1",150.221,2.8655,9.23,87.6743038089396,1,0,4,1,1,150.104465068
"CC1=CC=CC=C1",92.141,1.99502,0,55.0361092352361,0,0,0,1,1,92.062600256
"C1=CC=C(C=C1)/C=C\C(=O)C2=CC=CC=C2",208.26,3.5827,17.07,111.914888738624,1,0,3,2,2,208.088815004
"CCC1=CC=CC=C1",106.168,2.249,0,64.2109923499683,0,0,1,1,1,106.07825032
"C1CCC(CC1)[N+](=O)[O-]",129.159,1.5958,43.14,69.6657816706291,2,0,1,1,0,129.078978592
"C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=C2",208.26,3.5827,17.07,111.914888738624,1,0,3,2,2,208.088815004
"CCCC(=O)C1=CC=CC=C1",148.205,2.6694,17.07,83.9123396791409,1,0,3,1,1,148.088815004
"C1=CC=C(C=C1)/C=C\C2=CC=CC=C2",180.25,3.857,0,101.388424524184,0,0,2,2,2,180.093900384
"C1=CC(=CC=C1[N+](=O)[O-])O",139.11,1.3004,63.37,63.9901353531591,3,1,1,1,1,139.02694302
"CC(=O)C1=CC=CC=C1",120.151,1.8892,17.07,65.5625734496765,1,0,1,1,1,120.057514876
"C1=CC=C(C=C1)C#N",103.124,1.55828,23.79,55.2137774162014,1,0,0,1,1,103.04219916
"COC1=CC=CC=C1",108.14,1.6952,9.23,60.149654464743,1,0,1,1,1,108.057514876
"C1=CC=C2C=C(C(=CC2=C1)O)O",160.172,2.251,40.46,81.1146396732212,2,2,0,2,2,160.052429496
"C1=CC(=CC(=C1)O)[N+](=O)[O-]",139.11,1.3004,63.37,63.9901353531591,3,1,1,1,1,139.02694302
"C1=CC(=C(C=C1[N+](=O)[O-])O)[N+](=O)[O-]",184.107,1.2086,106.51,77.238140575491,5,1,2,1,1,184.012021228
"C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O",184.107,1.2086,106.51,77.2381405754911,5,1,2,1,1,184.012021228
"C1=CC=C2C(=C1)C=C(C=C2O)O",160.172,2.251,40.46,81.1146396732212,2,2,0,2,2,160.052429496
"C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3",252.273,1.7696,58.2,126.976020349016,2,2,2,3,2,252.089877624
"CCCCC1=CC=C(C=C1)C(=O)O",178.231,2.7274,37.3,97.9681268041964,1,1,4,1,1,178.099379688
"CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C",241.29,3.74524,49.33,127.308226097481,2,2,3,2,2,241.11027872
"C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)O)O",240.214,1.8732,74.6,113.537166622901,4,2,0,3,2,240.042258736
"CCCCCCCC1=CC=C(C=C1)N",191.318,3.7817,26.02,116.946382385287,1,1,6,1,1,191.167399672
"CCCCCCC1=CC=C(C=C1)N",177.291,3.3916,26.02,107.771499270554,1,1,5,1,1,177.151749608
"CCCCCC1=CC=C(C=C1)N",163.264,3.0015,26.02,98.5966161558222,1,1,4,1,1,163.136099544
"CCCCNC1=CC=CC=C1",149.237,2.8986,12.03,89.5736478954469,1,1,4,1,1,149.12044948
"CCCNC1=CC=CC=C1",135.21,2.5085,12.03,80.3987647807147,1,1,3,1,1,135.104799416
"CCNC1=CC=CC=C1",121.183,2.1184,12.03,71.2238816659825,1,1,2,1,1,121.089149352
"C1=CN=CC=C1C2=CC=NC=C2",156.188,2.1436,25.78,82.1675572887965,2,0,1,2,2,156.068748256
"COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC",336.367,3.0963,40.8,170.156479510811,4,0,2,5,3,336.12303447609
"C[N+](C)(C)CC1=CC=CC=C1",150.245,1.8928,0,91.340504736567,0,0,2,1,1,150.12772593209
"CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31",263.384,3.8264,12.03,150.459957259994,1,1,3,3,2,263.167399672
"CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31",277.411,4.1686,3.24,159.786755229083,1,0,3,3,2,277.183049736
"C1=CC=NC(=C1)C2=CC=CC=N2",156.188,2.1436,25.78,82.1675572887965,2,0,1,2,2,156.068748256
