"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"kappa[1,1]",-0.52897167379495,-0.527671555,0.149547754989687,0.145803680211,-0.7798060465,-0.2897848075,1.00165219277965,1826.59459631729,2321.98449871467
"kappa[2,1]",-1.07337371097,-1.07085915,0.13805153299097,0.136901275077,-1.29847072,-0.8494802135,1.00382400055516,1408.55629050446,1918.93719976942
"kappa[3,1]",-0.045223680089966,-0.04539197,0.122669406884397,0.116678907597,-0.2433564615,0.156321309,1.00170579491957,1438.21577015531,1660.55997393855
"kappa[4,1]",0.15752754370928,0.158460115,0.122812918847899,0.1166674589598,-0.0379492511,0.3617102525,1.00118379730221,1595.14758527413,1800.20730334659
"kappa[5,1]",0.080407998689203,0.0766232895,0.119398476200688,0.113693071707917,-0.1068727185,0.2808845835,1.00129559956284,1262.86530280057,1978.08549999716
"kappa[6,1]",0.0802577120626417,0.077385691,0.125549623338874,0.1203465619944,-0.12132819,0.290877221,1.00070742552326,1517.90035072508,2016.49946884401
"kappa[7,1]",-0.00675405700477125,-0.0077854072,0.127924454374438,0.121834070883,-0.2116403865,0.207569114,1.00095598910275,1521.03086678265,2192.17440116423
"kappa[8,1]",0.178682341844173,0.17858229,0.118169406602802,0.112879241013,-0.00790645815499999,0.3751430655,1.00293749707575,1329.70798077635,1782.69047564254
"kappa[9,1]",0.3206669816442,0.319109305,0.12006001920855,0.11443307253,0.128276153,0.5175973465,1.0011983187316,1525.21113400528,1881.88551725865
"kappa[10,1]",0.0685384380805158,0.0666707335,0.123355651569223,0.1171651158888,-0.130346648,0.2742101425,1.00137901581253,1443.00560215409,2098.06388094888
"kappa[11,1]",0.267560853465485,0.264670085,0.126215030598438,0.12160744806,0.0649611209,0.479646137,1.00213789299736,1534.65588493756,2299.25748739546
"kappa[12,1]",0.48495578487075,0.482992495,0.114305448732842,0.108859504698,0.305371948,0.6753321085,1.00067615501953,1389.70794204037,1771.72497164059
"kappa[13,1]",0.466507878476875,0.463878075,0.115941160039287,0.111307773969,0.28181869,0.662709665,1.0016376836094,1416.02458175897,1921.1310669347
"kappa[1,2]",-0.08219586246886,-0.082803098,0.11140618995851,0.1065820487382,-0.264332418,0.1015641625,1.00073094421115,2548.45174070573,2708.46420188477
"kappa[2,2]",-0.8494974896225,-0.848037655,0.105134356237987,0.100969189041,-1.025862105,-0.679426332,1.0028158819908,1679.99856421796,2246.64041686796
"kappa[3,2]",-0.13728486383471,-0.138383775,0.0873866934094819,0.0837654403803,-0.2790700185,0.00776601784999999,1.00108822562307,1759.99638644893,1981.82697918883
"kappa[4,2]",0.174401072987025,0.174447005,0.089328389633593,0.085078155918,0.0298143398,0.3219632755,1.00428463309273,1870.84430147669,2375.9745989991
"kappa[5,2]",-0.0936470859361625,-0.09654686,0.0870754969272524,0.0857703840819,-0.233557353,0.0490783585499998,1.00153670519159,1494.34645856719,2210.16774567319
"kappa[6,2]",0.06146473170795,0.0585821805,0.0923061348258078,0.09006697289247,-0.081593553,0.2173761715,1.00159637495577,1808.99215361189,2174.88788397023
"kappa[7,2]",0.012635006649368,0.010911144,0.0940026573927808,0.0933936375183,-0.1369520105,0.164828901,1.00287195155798,1954.32658825906,1957.60887861184
"kappa[8,2]",0.0651640704340262,0.0635567975,0.0827565372292974,0.08164242634359,-0.06822589225,0.2001577585,1.00157702668731,1715.2318948019,2240.25262878696
"kappa[9,2]",0.203762394243584,0.20303136,0.0854560695871066,0.080924652018,0.0657465901,0.3431859875,1.00109593442497,1852.78557906731,2212.63320242546
"kappa[10,2]",0.133802940338115,0.13100158,0.0903006846522565,0.0899809347234,-0.00518226543499999,0.284537942,1.0011818979727,1787.49484722044,1902.01083263984
"kappa[11,2]",0.2781715486891,0.27455207,0.0933676495674064,0.092675406033,0.131257158,0.434946754,1.00169974359784,1842.91732200521,2150.07470092574
"kappa[12,2]",0.27959657936354,0.277745235,0.0818375186759428,0.079670802372,0.151762741,0.415282632,1.00122767568051,1668.71201295473,1825.16263883256
"kappa[13,2]",0.251305893778275,0.24990745,0.0828412283193409,0.081927890373,0.1222778935,0.387806082,1.00094116739793,1694.43052074665,1772.67508580527
"kappa[1,3]",-0.0765440473007988,-0.0766483935,0.0565185944536589,0.055832810859,-0.169856858,0.01451274965,1.00290231609611,1898.48632576975,2190.89645549901
"kappa[2,3]",-0.251629892313,-0.24998214,0.0508418422236881,0.050659337463,-0.33686119,-0.1700890105,1.00271714219985,2012.65597592575,2384.71162155735
"kappa[3,3]",-0.0429254098303361,-0.042988017,0.0358581615358247,0.0355022513853,-0.101128824,0.016639808,1.00482321534628,1772.80039364456,2564.09891317684
"kappa[4,3]",0.1523026608425,0.15228672,0.0339368058346117,0.033127896396,0.09682513045,0.209953948,1.00573540913182,2142.0661993378,2293.21785173255
"kappa[5,3]",0.000297972190775475,-0.00016589892,0.0308378349442702,0.0296992919748,-0.0480491679,0.0517672941,1.00249496517279,1726.26288435076,1838.73653257337
"kappa[6,3]",0.0123851004436148,0.012610805,0.0328141226621181,0.03219565968087,-0.0401144665,0.0672263209,1.00046139329656,1776.81726284286,2222.78116845439
"kappa[7,3]",0.0630774656739452,0.0623978325,0.0359378588455785,0.0353607194241,0.005541571485,0.123704285,1.00186339510932,1811.53668235988,2407.64578482805
"kappa[8,3]",0.0170215766864282,0.016923721,0.0294532440166322,0.0290503913133,-0.0314691122,0.06615354565,1.00294345991184,1718.26025450922,2127.65838084889
"kappa[9,3]",0.10712109949345,0.10694712,0.0316091603500244,0.029957815902,0.054653698,0.159899042,1.00596293398555,2042.67026021929,2080.63933309451
"kappa[10,3]",0.0430293185448138,0.042563502,0.0313968545975326,0.0315879301542,-0.007138954425,0.0967867278,1.00040771903888,1698.7973323046,1861.87938754122
"kappa[11,3]",0.005403606166061,0.00474486575,0.0332975048816194,0.03342086890485,-0.04864843385,0.0617152092,1.00070050057048,1814.22410551609,2335.52697733877
"kappa[12,3]",0.05734883516135,0.056506988,0.0260620736784602,0.0252193010223,0.0152670743,0.1010823115,1.00191034273059,1590.03315595214,1950.27525142286
"kappa[13,3]",0.0323662478043625,0.0313573645,0.0266990799923002,0.0262505353131,-0.0106460759,0.0777146507999999,1.00074950443237,1622.71359092247,2196.30856435852
"kappa[1,4]",0.599848780497488,0.56918967,0.620687231223423,0.611447420451,-0.372881147,1.6660426,1.0009683291886,3888.73147922352,3321.83478722584
"kappa[2,4]",1.09754075403468,1.07558275,0.648064283348194,0.655481789466,0.07257187155,2.205477385,1.00047657613902,3100.56450651428,2943.48394255642
"kappa[3,4]",0.578174786461363,0.54957165,0.624753988127059,0.622218227757,-0.3940080115,1.648038125,1.00195959414529,3157.59626407514,3054.99454625393
"kappa[4,4]",1.33801956892125,1.3120229,0.57095635108606,0.569100064911,0.436581621,2.31885954,1.00301861427426,3374.78561073578,3138.40280773215
"kappa[5,4]",-0.5294221929899,-0.553999935,0.569508360227885,0.567569050608,-1.434210765,0.427012011999999,1.00076305275506,3728.8949229296,3156.75105379281
"kappa[6,4]",0.433059919029137,0.41128604,0.525938470922631,0.5277085897755,-0.3953314545,1.316893075,1.00096811873512,3585.50312556929,3410.96489237893
"kappa[7,4]",1.61455823517908,1.59143715,0.596845769496061,0.59331420687,0.6974355845,2.652864385,1.00322575228177,2934.12925774798,2872.16576928928
"kappa[8,4]",3.531596832625,3.49975425,0.636175966132819,0.64748744718,2.53185147,4.629926145,1.00180014376226,2763.80417364846,2662.42326248018
"kappa[9,4]",0.554310656378213,0.533965795,0.512930423251384,0.501704100828,-0.229268088,1.43899784,1.00197702037163,3120.07939005655,3107.00809700695
"kappa[10,4]",-0.375108544625637,-0.39837131,0.544461563439806,0.5425520325645,-1.236932925,0.5339297095,1.0021159273373,3156.96653391251,2374.47562075109
"kappa[11,4]",1.43561045000423,1.40495995,0.595942347314584,0.59142515208,0.497839987,2.457159735,1.00284039615023,2549.89709187745,2235.58736632517
"kappa[12,4]",1.25671735996337,1.22450575,0.608443908463052,0.61265146215,0.3140809685,2.31095486,1.00057097703023,3189.997330504,2805.30820565346
"kappa[13,4]",1.4280378239293,1.3960184,0.520735519514453,0.50967962892,0.623706829,2.337857455,1.00167503380855,3138.82888039373,2494.73207275411
"kappa[1,5]",0.01474089865558,0.0120509675,0.00915016572399755,0.00681948089781,0.00527911736,0.03367005265,1.00425438208746,1669.65490247703,2371.24347022024
"kappa[2,5]",-0.00430707570260565,-0.00258501,0.0114871127289315,0.00693368372256,-0.02635434325,0.01050991025,1.00397257927465,4248.35730272516,3192.98080705758
"kappa[3,5]",-0.00288004946758507,-0.000975906335,0.0115676151517467,0.00758480242779,-0.0228555552,0.01215874965,1.0012578461941,4133.82084877349,3220.70272635448
"kappa[4,5]",-0.00377170817087812,-0.0022622197,0.0109267624546111,0.00632478961359,-0.0230276802,0.01070581115,1.00183072697767,3340.76460599831,3358.57699103412
"kappa[5,5]",0.0136261683898725,0.0109596925,0.00913327286020963,0.00677151560022,0.004190134555,0.03226413305,1.00430366582676,1650.8876839138,2453.41619431024
"kappa[6,5]",-0.00509556946464062,-0.0030343143,0.011890451662059,0.00671859878928,-0.02503102955,0.00918619622499999,1.00310063814244,3713.73414280948,3108.96880100459
"kappa[7,5]",0.0110028747941368,0.00845823025,0.00950127076631333,0.00651627259269,0.00178359515,0.0296312012,1.0057671718166,1407.98058725859,1084.54594557178
"kappa[8,5]",-0.00496885120828923,-0.00292494755,0.0117838104830357,0.00651971207643,-0.02616642425,0.00929952827999996,1.00244951970142,3516.49225111985,3423.95327200531
"kappa[9,5]",-0.00437762648149187,-0.0024285469,0.0117698351532754,0.00716788240917,-0.0247865855,0.0105780139,1.00104511173271,3988.24236869996,3034.18493869294
"kappa[10,5]",-0.00532998651627458,-0.0030793045,0.0121571711191107,0.00672450657963,-0.02573641085,0.008735651365,1.00127221009415,3712.30052939847,3348.12070365688
"kappa[11,5]",-0.000662258643402842,0.00131258965,0.0122219209471993,0.0072161366655,-0.02194939805,0.01496451165,1.00289231503352,2528.17586394228,2833.25614354518
"kappa[12,5]",-0.00412697009053883,-0.0023300067,0.0116010129999764,0.00695957340267,-0.02479046955,0.0102922458,1.00326874094238,4042.28080030764,3222.66889499476
"kappa[13,5]",-0.00431872226663044,-0.00254762085,0.0114638695415107,0.00645826831398,-0.02279653105,0.00966603258499999,1.00195206087586,2931.85037112113,3328.7283948853
"kappa[1,6]",0.32404874203375,0.323639405,0.0963983793380384,0.093381175524,0.170092208,0.4878573615,1.00274491819399,1769.25599664468,2297.63730412228
"kappa[2,6]",0.235443142338715,0.235003415,0.120381922576897,0.118855090116,0.0372390101,0.427617449,1.0023147342979,1737.8851718771,2282.10588962221
"kappa[3,6]",0.420349514361,0.422492945,0.0921761244279481,0.088931218341,0.2683276375,0.568320869,1.00239976314313,2050.22640186597,2461.35895127778
"kappa[4,6]",-0.137343982738788,-0.13609147,0.0839241267531349,0.0795148135782,-0.280085152,-0.000856699583000071,1.00124154130287,2260.2872792751,2805.73114588012
"kappa[5,6]",-0.154675649680858,-0.15270677,0.10256676945132,0.1026416737773,-0.3260256505,0.0127449834999999,1.00092070828144,1935.90233473742,2207.30707742908
"kappa[6,6]",-0.0559247893990853,-0.054042779,0.0716165754506863,0.0691236022806,-0.176886602,0.0601908749,1.00206733048519,2309.24920365031,2660.20041579658
"kappa[7,6]",-0.154551372217226,-0.153736505,0.0915657798291809,0.0907524426984,-0.304384427,-0.00665330452500001,1.00246026956118,1399.14248585053,2582.18714421065
"kappa[8,6]",-0.302411301559425,-0.299193915,0.10053977120272,0.098897715147,-0.472201677,-0.136570429,1.00195053476893,2327.63111006646,2772.83571421021
"kappa[9,6]",0.0593877125532745,0.060432193,0.07784515729667,0.07526564899035,-0.0673270835,0.1835841515,1.0015903903209,2362.62544145455,2581.21598121448
"kappa[10,6]",0.00197867356347475,0.00300762895,0.0766438470621187,0.0753199466208,-0.124363878,0.124878822,1.00410258301315,2289.25018193152,2449.32730913956
"kappa[11,6]",-0.271529670795775,-0.267966995,0.0866702250911677,0.086655946251,-0.4219104425,-0.1363172455,1.00127161456824,2388.13302158889,3057.3496280532
"kappa[12,6]",-0.0550867875725978,-0.0539576965,0.0729184409220658,0.06906463883382,-0.1770329905,0.0618654265,1.00005321651051,2343.19153855397,2698.593219108
"kappa[13,6]",-0.159378318776278,-0.157583345,0.0729001307325857,0.068910106398,-0.278965621,-0.0428934519000001,1.00218706949386,2290.73094256304,2602.07563364808
"kappa[1,7]",0.0759936248578368,0.073049732,0.393309599500315,0.380457376761,-0.5574297585,0.7289612615,1.00216775062948,6269.66910834587,3395.39503263632
"kappa[2,7]",-0.402050374254947,-0.39345314,0.423008936641571,0.423247132728,-1.10818716,0.2737072135,1.00354315740651,5515.87818407068,2758.95005925556
"kappa[3,7]",-0.447449402887285,-0.442713775,0.380642878806903,0.381963068256,-1.065134265,0.168539107,1.00014238050539,4534.86984072764,3238.15821357297
"kappa[4,7]",-0.448048817619587,-0.45022895,0.328082775725034,0.31968028764,-0.979907512,0.0887657936499998,1.00227382681388,5253.80061205555,3303.19847818133
"kappa[5,7]",0.607665490466695,0.60082627,0.404984748823444,0.405684290193,-0.03851978415,1.301970665,1.00078130781266,6422.91540605464,3496.22946684712
"kappa[6,7]",-0.034354264392035,-0.041236245,0.317047939531391,0.315194911143,-0.541696906,0.4994808815,1.00200501096782,6426.03388372476,3305.09634845475
"kappa[7,7]",1.09895797448225,1.08186655,0.377150983137772,0.363577679241,0.5025292545,1.74476673,1.00179472180337,3709.58785965729,3292.12047931129
"kappa[8,7]",1.27819995389825,1.26528815,0.391576029902063,0.38477480433,0.6670273285,1.94503548,1.00189503190869,3576.63633517669,3178.77508047102
"kappa[9,7]",-0.352164453519693,-0.35407637,0.287193372987657,0.279317681307,-0.822344817,0.123973462499999,1.00005340037091,4338.20032958499,2897.13688808336
"kappa[10,7]",-0.9569206657465,-0.958080675,0.32971707648451,0.33550689438,-1.489325965,-0.4187807265,1.00251250153088,4090.28368533061,3077.02993624327
"kappa[11,7]",0.225724500087858,0.215911535,0.348832479612561,0.3436793569713,-0.3259603955,0.816070392,1.00115569144182,3683.04639314675,3126.52912047641
"kappa[12,7]",0.951232235677025,0.93192495,0.387706205086541,0.383723448192,0.345346099,1.634003075,1.00259369088085,4525.57170108935,3095.50406913754
"kappa[13,7]",0.296851406355213,0.288168035,0.303694903364373,0.3046925685972,-0.1752338065,0.8026129855,1.00316265617173,5899.75540335518,3270.37992867463
"kappa[1,8]",0.028185130964324,0.0280132285,0.0789533228491059,0.0784852627797,-0.100365733,0.1575220895,1.00197276192798,1997.13240612321,2785.72986022858
"kappa[2,8]",0.173741801430022,0.17261626,0.0792978999966888,0.080150460537,0.048653522,0.3038018845,1.00289361661417,2452.27187619155,3090.97693518977
"kappa[3,8]",0.2622764201975,0.26141702,0.067453755146489,0.06707030358,0.151724519,0.3724997615,1.00316249733477,1961.20429790238,2791.01066025549
"kappa[4,8]",0.0715284750677477,0.071505604,0.0566268482438777,0.0544092198216,-0.022345553,0.165795922,1.00121461518304,2535.58176844863,2839.1756867831
"kappa[5,8]",-0.32314618062775,-0.321419405,0.0728313272878286,0.071846581023,-0.4441714495,-0.205622295,1.00096896172065,2374.3631482011,3077.27086011714
"kappa[6,8]",-0.0150071001540687,-0.0157900335,0.0510860348790912,0.0501844258419,-0.0994867584,0.0693166830499999,1.00238461433169,2074.28062374279,2499.50046208467
"kappa[7,8]",-0.271864828241301,-0.26855931,0.0720207859533449,0.070446191193,-0.394802243,-0.1567088615,1.00309565721638,1750.85941529906,2583.75270930881
"kappa[8,8]",-0.0964295545192035,-0.096090553,0.0630959275272845,0.0610448110986,-0.201130468,0.00580160666999995,1.00304351495127,2115.04916388692,2348.14326212907
"kappa[9,8]",0.0807386473894975,0.0813611705,0.0516559303150535,0.0498245395179,-0.003474306875,0.1655934705,1.00120428666902,2109.88720177495,2683.47030287987
"kappa[10,8]",0.0645233359893345,0.0638236035,0.0536325821486623,0.0529250186136,-0.0221965797,0.1520163385,1.00225073184194,2019.70314592803,2829.90239201477
"kappa[11,8]",0.0146535930842574,0.0146248735,0.0545493509548797,0.053294162292,-0.0753845931,0.1042526665,1.002147444816,1947.93413290552,2764.38919094633
"kappa[12,8]",-0.0648437377383795,-0.06456901,0.0505971454970658,0.0484854262872,-0.1472289425,0.01930313525,1.00299788345553,2071.49627604153,2647.77972539034
"kappa[13,8]",-0.00781975760371682,-0.00749360145,0.0506401626589038,0.048557588877,-0.091913396,0.0751633202,1.00259123813184,2114.08282968897,2518.12440989839
