"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"logkw_hat",3.16117193435,3.16433035,0.148865518835477,0.141758799,2.91171217,3.40176352,1.00965510234816,464.502277865642,1199.98680252674
"S1_hat",3.948875903925,3.9517332,0.124449065470334,0.1188615246,3.74262884,4.14662023,1.00675279327857,421.684521554171,841.369514556309
"logS2_hat",0.32338299042,0.323124075,0.0325000461841862,0.033186110685,0.2699521565,0.3756234065,1.00319955500236,1054.81303980298,2205.48854291303
"fid_hat",0.0120711463189716,0.0148279665,0.00905427057060844,0.0066627910566,-0.00670183397,0.02122344665,1.00469613007108,1638.39270063658,2491.04368995211
"alpha_hat",4.732614796125,4.73254355,0.0621377055653879,0.0631564619700004,4.63160985,4.83645074,1.00002669312379,3127.43454628284,3520.15775605676
"dlogkw_hat",-2.3795255041,-2.3794264,0.0828688204111458,0.0807187485300001,-2.513009535,-2.24651048,1.00101549973266,2053.91369560631,2613.11151790603
"dS1_hat",2.159345496275,2.15838265,0.250537297963814,0.24548238456,1.75076881,2.5687261,1.003885087281,3706.87018160108,2778.99848593128
"dlogS2_hat",-0.8619173294475,-0.861756955,0.054483870392033,0.053320055901,-0.9518033335,-0.7720078755,1.00407623346438,1851.12580876966,2760.96866641851
"gamma_hat",3.064047275775,3.08773965,0.412231993540135,0.41600006532,2.36098498,3.707994105,1.00274931078781,2733.75054154228,2817.55939910223
"beta_a_hat[1]",0.8307343083275,0.83099349,0.0554239298114129,0.053708267298,0.740212704,0.921859647,1.01134895166074,468.498056158398,697.486915966483
"beta_a_hat[2]",0.7400127906975,0.73955821,0.0538053012969494,0.052563848358,0.6518453025,0.828302633,1.00849418493118,553.88662584605,739.223909903918
"beta_c_hat[1]",0.736271500472602,0.73698312,0.221388707301126,0.210868292859,0.3695413425,1.097934715,1.00221511395118,4885.41309709656,2821.35067612248
"beta_c_hat[2]",0.543006545386475,0.5468427,0.184714135358413,0.183874268487,0.2395685545,0.8505398505,1.00264698400465,3934.5913711551,2780.38095951779
