"","n_exp","c","fi","evsi","type"
"1",1,1,0,0.0810646277813307,"laplace"
"2",2,2,0.05,0.0975494241255739,"laplace"
"3",3,3,0.1,0.105555519154488,"laplace"
"4",4,4,0.15,0.149942333462241,"laplace"
"5",5,5,0.2,0.14885265268806,"laplace"
"6",6,6,0.25,0.1443105267539,"laplace"
"7",7,7,0.3,0.144272086871932,"laplace"
"8",8,8,0.35,0.131435245836149,"laplace"
"9",9,9,0.4,0.110778913211597,"laplace"
"10",10,10,0.45,0.144423174208856,"laplace"
"11",11,11,0.5,0.168708837464347,"laplace"
"12",12,12,0.55,0.174163132089501,"laplace"
"13",13,13,0.6,0.169762490834817,"laplace"
"14",14,1,0.65,0.135541725537545,"laplace"
"15",15,2,0.7,0.163414257695355,"laplace"
"16",16,3,0.75,0.163966245114644,"laplace"
"17",17,4,0.8,0.172583674158245,"laplace"
"18",18,5,0.85,0.182024650331845,"laplace"
"19",19,6,0.9,0.162392983548406,"laplace"
"20",20,7,0.95,0.196958559488596,"laplace"
"21",21,8,1,0.162266488862427,"laplace"
"22",22,9,0,0.0789396604329501,"laplace"
"23",23,10,0.05,0.0951039885758202,"laplace"
"24",24,11,0.1,0.143010201220024,"laplace"
"25",25,12,0.15,0.142228971084663,"laplace"
"26",26,13,0.2,0.145816822529067,"laplace"
"27",27,1,0.25,0.115666105026377,"laplace"
"28",28,2,0.3,0.140954368855909,"laplace"
"29",29,3,0.35,0.131230269547973,"laplace"
"30",30,4,0.4,0.11075761852873,"laplace"
"31",31,5,0.45,0.15259385892692,"laplace"
"32",32,6,0.5,0.163716452950252,"laplace"
"33",33,7,0.55,0.208047221436774,"laplace"
"34",34,8,0.6,0.169474232724976,"laplace"
"35",35,9,0.65,0.169633432002408,"laplace"
"36",36,10,0.7,0.163105284729087,"laplace"
"37",37,11,0.75,0.16071836857353,"laplace"
"38",38,12,0.8,0.170180596056446,"laplace"
"39",39,13,0.85,0.164043777294177,"laplace"
"40",40,1,0.9,0.132147038887864,"laplace"
"41",41,2,0.95,0.155722058619948,"laplace"
"42",42,3,1,0.162297810591764,"laplace"
"43",43,4,0,0.0783690962300225,"laplace"
"44",44,5,0.05,0.0900008891307752,"laplace"
"45",45,6,0.1,0.13849479862731,"laplace"
"46",46,7,0.15,0.164802093433336,"laplace"
"47",47,8,0.2,0.145424217525717,"laplace"
"48",48,9,0.25,0.14118037477937,"laplace"
"49",49,10,0.3,0.145788134165049,"laplace"
"50",50,11,0.35,0.127653763688872,"laplace"
"51",51,12,0.4,0.110308076025162,"laplace"
"52",52,13,0.45,0.149860451118039,"laplace"
"53",53,1,0.5,0.13955180961367,"laplace"
"54",54,2,0.55,0.158528944220646,"laplace"
"55",55,3,0.6,0.159838851905802,"laplace"
"56",56,4,0.65,0.173201224823363,"laplace"
"57",57,5,0.7,0.184201955436597,"laplace"
"58",58,6,0.75,0.163341781464796,"laplace"
"59",59,7,0.8,0.195600036571481,"laplace"
"60",60,8,0.85,0.166609120601226,"laplace"
"61",61,9,0.9,0.16462655985951,"laplace"
"62",62,10,0.95,0.16408221547218,"laplace"
"63",63,11,1,0.156910524515831,"laplace"
"64",64,12,0,0.07829877139006,"laplace"
"65",65,13,0.05,0.0952350281510436,"laplace"
"66",66,1,0.1,0.0799137320699477,"laplace"
"67",67,2,0.15,0.111309155118909,"laplace"
"68",68,3,0.2,0.148497393908377,"laplace"
"69",69,4,0.25,0.150627128771201,"laplace"
"70",70,5,0.3,0.141474366038164,"laplace"
"71",71,6,0.35,0.131789121620719,"laplace"
"72",72,7,0.4,0.110337450524982,"laplace"
"73",73,8,0.45,0.146621293586248,"laplace"
"74",74,9,0.5,0.160788643025013,"laplace"
"75",75,10,0.55,0.16543590864598,"laplace"
