"","n_exp","c","fi","prob","evsi","type"
"1",1,1,0,0.0619098180585787,0.073571794388313,"current"
"2",2,2,0.05,NA,0.136841188904618,NA
"3",3,3,0.1,NA,0.0781205968517313,NA
"4",4,4,0.15,NA,0.087712810836305,NA
"5",5,5,0.2,NA,0.119848567821159,NA
"6",6,6,0.25,NA,0.105668122192452,NA
"7",7,7,0.3,NA,0.0991299470828747,NA
"8",8,8,0.35,NA,0.050684627782364,NA
"9",9,9,0.4,NA,0.0170581661745867,NA
"10",10,10,0.45,NA,0.0628646395122823,NA
"11",11,11,0.5,NA,0.0991241521374025,NA
"12",12,12,0.55,NA,0.107734572901502,NA
"13",13,13,0.6,NA,0.110101912518751,NA
"14",14,1,0.65,0.0319661870729827,0.0705511892543267,"current"
"15",15,2,0.7,NA,0.155474316816216,NA
"16",16,3,0.75,NA,0.0847773001226942,NA
"17",17,4,0.8,NA,0.113700141419782,NA
"18",18,5,0.85,NA,0.140051259910047,NA
"19",19,6,0.9,NA,0.107803129029254,NA
"20",20,7,0.95,NA,0.109881645222453,NA
"21",21,8,1,NA,0.0828972700391034,NA
"22",22,9,0,NA,0.0708015285765573,NA
"23",23,10,0.05,NA,0.0834576433579764,NA
"24",24,11,0.1,NA,0.0767247846780419,NA
"25",25,12,0.15,NA,0.0764259140857103,NA
"26",26,13,0.2,NA,0.0831097657392646,NA
"27",27,1,0.25,NA,0.107942566438006,NA
"28",28,2,0.3,0.50455217534517,0.16172855147127,"current"
"29",29,3,0.35,NA,0.0525468624661326,NA
"30",30,4,0.4,NA,0.0155860293018167,NA
"31",31,5,0.45,NA,0.0902303842539075,NA
"32",32,6,0.5,NA,0.0992457400100996,NA
"33",33,7,0.55,NA,0.134815862755479,NA
"34",34,8,0.6,NA,0.10611308745056,NA
"35",35,9,0.65,NA,0.120994971135498,NA
"36",36,10,0.7,NA,0.118265041827903,NA
"37",37,11,0.75,NA,0.104879701262365,NA
"38",38,12,0.8,NA,0.111449702877887,NA
"39",39,13,0.85,NA,0.102934412274784,NA
"40",40,1,0.9,NA,0.0474636600818224,NA
"41",41,2,0.95,0.0143182673170142,0.127323857663242,"current"
"42",42,3,1,NA,0.0766346881486127,NA
"43",43,4,0,NA,0.0696859608738773,NA
"44",44,5,0.05,NA,0.0774912870629386,NA
"45",45,6,0.1,NA,0.084342539859778,NA
"46",46,7,0.15,NA,0.0742906363079397,NA
"47",47,8,0.2,NA,0.0900175154727159,NA
"48",48,9,0.25,NA,0.0975654317721747,NA
"49",49,10,0.3,NA,0.0959473062058572,NA
"50",50,11,0.35,NA,0.0523267283769046,NA
"51",51,12,0.4,NA,0.0157223552850439,NA
"52",52,13,0.45,NA,0.0694844639835265,NA
"53",53,1,0.5,NA,0.0669283569261788,NA
"54",54,2,0.55,NA,0.154899047035685,NA
"55",55,3,0.6,0.183653640836882,0.09706913347518,"current"
"56",56,4,0.65,NA,0.128074262292087,NA
"57",57,5,0.7,NA,0.147522214957443,NA
"58",58,6,0.75,NA,0.115333974156816,NA
"59",59,7,0.8,NA,0.117590837419661,NA
"60",60,8,0.85,NA,0.0918389331293708,NA
"61",61,9,0.9,NA,0.107811100726011,NA
"62",62,10,0.95,NA,0.109751979718704,NA
"63",63,11,1,NA,0.0981670214493053,NA
"64",64,12,0,NA,0.0682156213096999,NA
"65",65,13,0.05,NA,0.0866937823616278,NA
"66",66,1,0.1,NA,0.0827978935050481,NA
"67",67,2,0.15,NA,0.201478748545629,NA
"68",68,3,0.2,NA,0.0896824406914508,NA
"69",69,4,0.25,0.402818586816197,0.117122673440015,"current"
"70",70,5,0.3,NA,0.130101055109679,NA
"71",71,6,0.35,NA,0.0591971936947105,NA
"72",72,7,0.4,NA,0.0143493676026594,NA
"73",73,8,0.45,NA,0.0703800485529515,NA
"74",74,9,0.5,NA,0.108444524270686,NA
"75",75,10,0.55,NA,0.122342741516632,NA
"76",76,11,0.6,NA,0.106228901206776,NA
"77",77,12,0.65,NA,0.11811559372975,NA
"78",78,13,0.7,NA,0.109463733725616,NA
"79",79,1,0.75,NA,0.0617005223368224,NA
"80",80,2,0.8,NA,0.142169514610936,NA
"81",81,3,0.85,NA,0.0791494334222537,NA
"82",82,4,0.9,0.0227932189691892,0.114798051788011,"current"
"83",83,5,0.95,NA,0.131665240134205,NA
"84",84,6,1,NA,0.102363516570293,NA
"85",85,7,0,NA,0.0693043214587106,NA
"86",86,8,0.05,NA,0.080714631803151,NA
"87",87,9,0.1,NA,0.0833019394334374,NA
"88",88,10,0.15,NA,0.0762856892057763,NA
"89",89,11,0.2,NA,0.0808089629777151,NA
"90",90,12,0.25,NA,0.0981130969955296,NA
"91",91,13,0.3,NA,0.0780211472801618,NA
"92",92,1,0.35,NA,0.0638907473508213,NA
"93",93,2,0.4,NA,0.0162255123511658,NA
"94",94,3,0.45,NA,0.0583061400848633,NA
"95",95,4,0.5,NA,0.121158001798186,NA
"96",96,5,0.55,0.410672729276962,0.153813455610059,"current"
"97",97,6,0.6,NA,0.121221577524752,NA
"98",98,7,0.65,NA,0.128257816697964,NA
"99",99,8,0.7,NA,0.103915647575163,NA
"100",100,9,0.75,NA,0.110702812655554,NA
