"","n_exp","c","fi","evsi","type"
"1",1,1,0,0.0284760318417533,"sample"
"2",2,2,0.05,0.0435532111508265,"sample"
"3",3,3,0.1,0.0379849502329206,"sample"
"4",4,4,0.15,0.0423172739985129,"sample"
"5",5,5,0.2,0.0644073000490838,"sample"
"6",6,6,0.25,0.057329659584775,"sample"
"7",7,7,0.3,0.0828000325342985,"sample"
"8",8,8,0.35,0.0549241534618067,"sample"
"9",9,9,0.4,0.0124614781201891,"sample"
"10",10,10,0.45,0.073324961707392,"sample"
"11",11,11,0.5,0.103548240465044,"sample"
"12",12,12,0.55,0.116184395519102,"sample"
"13",13,13,0.6,0.103456873921458,"sample"
"14",14,1,0.65,0.0706776166808778,"sample"
"15",15,2,0.7,0.155989058773266,"sample"
"16",16,3,0.75,0.114161426898605,"sample"
"17",17,4,0.8,0.111291377809174,"sample"
"18",18,5,0.85,0.130671345281766,"sample"
"19",19,6,0.9,0.0986135218895603,"sample"
"20",20,7,0.95,0.135861656194261,"sample"
"21",21,8,1,0.0928172591258357,"sample"
"22",22,9,0,0.0311464326584977,"sample"
"23",23,10,0.05,0.0338021506768038,"sample"
"24",24,11,0.1,0.0211852503317373,"sample"
"25",25,12,0.15,0.0331818198252704,"sample"
"26",26,13,0.2,0.0564917729384333,"sample"
"27",27,1,0.25,0.0572927951042033,"sample"
"28",28,2,0.3,0.109997479127604,"sample"
"29",29,3,0.35,0.0493462358271414,"sample"
"30",30,4,0.4,0.0137954873292614,"sample"
"31",31,5,0.45,0.0859680006274887,"sample"
"32",32,6,0.5,0.101748118289202,"sample"
"33",33,7,0.55,0.161156638627398,"sample"
"34",34,8,0.6,0.106673837339983,"sample"
"35",35,9,0.65,0.108665868409659,"sample"
"36",36,10,0.7,0.100654663708337,"sample"
"37",37,11,0.75,0.0977960199418123,"sample"
"38",38,12,0.8,0.10868054221204,"sample"
"39",39,13,0.85,0.0989595363531223,"sample"
"40",40,1,0.9,0.0611697869099656,"sample"
"41",41,2,0.95,0.127235309818911,"sample"
"42",42,3,1,0.105915984096804,"sample"
"43",43,4,0,0.0295610092859192,"sample"
"44",44,5,0.05,0.0313910126103253,"sample"
"45",45,6,0.1,0.0212403778235412,"sample"
"46",46,7,0.15,0.0682084223138039,"sample"
"47",47,8,0.2,0.0474822838069077,"sample"
"48",48,9,0.25,0.0487330934584019,"sample"
"49",49,10,0.3,0.0729747410590333,"sample"
"50",50,11,0.35,0.0549997290122144,"sample"
"51",51,12,0.4,0.0126998993299103,"sample"
"52",52,13,0.45,0.0741453924640761,"sample"
"53",53,1,0.5,0.0696751377378706,"sample"
"54",54,2,0.55,0.15793934944593,"sample"
"55",55,3,0.6,0.111350587589684,"sample"
"56",56,4,0.65,0.112436525055747,"sample"
"57",57,5,0.7,0.135467460940833,"sample"
"58",58,6,0.75,0.0971057436426963,"sample"
"59",59,7,0.8,0.139446144903002,"sample"
"60",60,8,0.85,0.0998650513687697,"sample"
"61",61,9,0.9,0.0992638701255416,"sample"
"62",62,10,0.95,0.0996042929013185,"sample"
"63",63,11,1,0.09350677732399,"sample"
"64",64,12,0,0.0299040940144827,"sample"
"65",65,13,0.05,0.0392081747752472,"sample"
"66",66,1,0.1,0.0330545853614902,"sample"
"67",67,2,0.15,0.0886950327179588,"sample"
"68",68,3,0.2,0.0503697808503258,"sample"
"69",69,4,0.25,0.0708860739695389,"sample"
"70",70,5,0.3,0.0766738328367197,"sample"
"71",71,6,0.35,0.0523850367453474,"sample"
"72",72,7,0.4,0.0133327133833824,"sample"
"73",73,8,0.45,0.0703166020787193,"sample"
"74",74,9,0.5,0.0960392620266709,"sample"
"75",75,10,0.55,0.105894838642667,"sample"
"76",76,11,0.6,0.0988408477208291,"sample"
"77",77,12,0.65,0.101666343911817,"sample"
"78",78,13,0.7,0.0979100154529566,"sample"
"79",79,1,0.75,0.0639475748429362,"sample"
"80",80,2,0.8,0.139520338309338,"sample"
"81",81,3,0.85,0.110877668910442,"sample"
"82",82,4,0.9,0.106914312887516,"sample"
"83",83,5,0.95,0.126337157481145,"sample"
"84",84,6,1,0.0974215902608865,"sample"
"85",85,7,0,0.0368426626559447,"sample"
"86",86,8,0.05,0.0364181644802037,"sample"
"87",87,9,0.1,0.0268968656330177,"sample"
"88",88,10,0.15,0.038209782457382,"sample"
"89",89,11,0.2,0.0506328891932799,"sample"
"90",90,12,0.25,0.0609816506998372,"sample"
"91",91,13,0.3,0.0693843092475603,"sample"
"92",92,1,0.35,0.0621506419667149,"sample"
"93",93,2,0.4,0.0127948110285444,"sample"
"94",94,3,0.45,0.0749619730673183,"sample"
"95",95,4,0.5,0.104708248843974,"sample"
"96",96,5,0.55,0.130693821206961,"sample"
"97",97,6,0.6,0.104266426919326,"sample"
"98",98,7,0.65,0.143833291139184,"sample"
"99",99,8,0.7,0.102305554551071,"sample"
"100",100,9,0.75,0.103072662932948,"sample"
"101",101,10,0.8,0.101391286247062,"sample"
"102",102,11,0.85,0.0945932500174774,"sample"
